config_id	label	run_dir	embedder	max_words	min_words	section_overlap_words	overlap_words	adaptive	auto_extract_title	prepend_first_paragraph	strip_markdown_links	n_sites	n_pages_total	n_chunks_total	avg_words_per_chunk	mrr_mean	mrr_median	per_site_mrr_json	elapsed_sec	status	description
6ad6d980	baseline-v099	v099-rc1-trial3	st-mini	400	0	0	50	False	False	False	False	11	2039	42015	160.9	0.349	0.3557	"{""mrr"":{""huggingface-transformers"":0.1875,""ikea"":0.0,""kubernetes-docs"":0.6866,""mdn-css"":0.625,""newegg"":0.125,""npr-news"":0.1667,""postgres-docs"":0.6542,""react-dev"":0.4583,""rust-book"":0.3557,""smittenkitchen"":0.5,""stripe-docs"":0.0804},""meta"":{""huggingface-transformers"":{""pages"":8,""chunks"":212,""avg_words"":141.2,""n_queries"":8},""ikea"":{""pages"":134,""chunks"":1926,""avg_words"":99.9,""n_queries"":8},""kubernetes-docs"":{""pages"":195,""chunks"":8653,""avg_words"":112.0,""n_queries"":8},""mdn-css"":{""pages"":300,""chunks"":3813,""avg_words"":73.2,""n_queries"":8},""newegg"":{""pages"":1,""chunks"":56,""avg_words"":195.6,""n_queries"":8},""npr-news"":{""pages"":150,""chunks"":4710,""avg_words"":38.3,""n_queries"":6},""postgres-docs"":{""pages"":400,""chunks"":3886,""avg_words"":192.5,""n_queries"":8},""react-dev"":{""pages"":51,""chunks"":816,""avg_words"":146.5,""n_queries"":16},""rust-book"":{""pages"":112,""chunks"":1662,""avg_words"":227.1,""n_queries"":8},""smittenkitchen"":{""pages"":200,""chunks"":11415,""avg_words"":294.0,""n_queries"":8},""stripe-docs"":{""pages"":488,""chunks"":4866,""avg_words"":102.5,""n_queries"":18}},""per_category"":{""api-function"":0.392,""conceptual"":0.5003,""cross-page"":0.1944,""factual-lookup"":0.2667,""code-example"":0.5357,""js-rendered"":0.05},""per_site_per_category"":{""huggingface-transformers"":{""api-function"":0.2,""conceptual"":0.25,""cross-page"":0.0},""ikea"":{""factual-lookup"":0.0,""cross-page"":0.0},""kubernetes-docs"":{""conceptual"":0.775,""api-function"":0.5982},""mdn-css"":{""api-function"":0.3333,""conceptual"":0.8},""newegg"":{""cross-page"":0.3333,""factual-lookup"":0.0},""npr-news"":{""cross-page"":0.1667},""postgres-docs"":{""cross-page"":0.6667,""conceptual"":0.475,""api-function"":1.0},""react-dev"":{""conceptual"":0.8667,""api-function"":0.0,""code-example"":1.0},""rust-book"":{""conceptual"":0.3351,""api-function"":0.5},""smittenkitchen"":{""factual-lookup"":0.8,""cross-page"":0.0},""stripe-docs"":{""api-function"":0.1125,""js-rendered"":0.05,""code-example"":0.0714,""conceptual"":0.0}}}"	341.0	completed	baseline-v099
e6774f02	size-max200-min100	v099-rc1-trial3	st-mini	200	100	0	50	False	False	False	False	11	2039	46657	148.6	0.3608	0.3359	"{""mrr"":{""huggingface-transformers"":0.25,""ikea"":0.0,""kubernetes-docs"":0.7917,""mdn-css"":0.5417,""newegg"":0.125,""npr-news"":0.1667,""postgres-docs"":0.8125,""react-dev"":0.3359,""rust-book"":0.3658,""smittenkitchen"":0.5,""stripe-docs"":0.0792},""meta"":{""huggingface-transformers"":{""pages"":8,""chunks"":220,""avg_words"":137.5,""n_queries"":8},""ikea"":{""pages"":134,""chunks"":1396,""avg_words"":140.5,""n_queries"":8},""kubernetes-docs"":{""pages"":195,""chunks"":7076,""avg_words"":138.1,""n_queries"":8},""mdn-css"":{""pages"":300,""chunks"":2123,""avg_words"":132.3,""n_queries"":8},""newegg"":{""pages"":1,""chunks"":70,""avg_words"":159.7,""n_queries"":8},""npr-news"":{""pages"":150,""chunks"":1433,""avg_words"":125.8,""n_queries"":6},""postgres-docs"":{""pages"":400,""chunks"":5248,""avg_words"":145.9,""n_queries"":8},""react-dev"":{""pages"":51,""chunks"":836,""avg_words"":146.1,""n_queries"":16},""rust-book"":{""pages"":112,""chunks"":2528,""avg_words"":152.2,""n_queries"":8},""smittenkitchen"":{""pages"":200,""chunks"":21979,""avg_words"":158.2,""n_queries"":8},""stripe-docs"":{""pages"":488,""chunks"":3748,""avg_words"":135.9,""n_queries"":18}},""per_category"":{""api-function"":0.397,""conceptual"":0.5388,""cross-page"":0.2083,""factual-lookup"":0.2667,""code-example"":0.375,""js-rendered"":0.0167},""per_site_per_category"":{""huggingface-transformers"":{""api-function"":0.2,""conceptual"":0.5,""cross-page"":0.0},""ikea"":{""factual-lookup"":0.0,""cross-page"":0.0},""kubernetes-docs"":{""conceptual"":0.75,""api-function"":0.8333},""mdn-css"":{""api-function"":0.1111,""conceptual"":0.8},""newegg"":{""cross-page"":0.3333,""factual-lookup"":0.0},""npr-news"":{""cross-page"":0.1667},""postgres-docs"":{""cross-page"":0.75,""conceptual"":0.75,""api-function"":1.0},""react-dev"":{""conceptual"":0.625,""api-function"":0.0,""code-example"":0.75},""rust-book"":{""conceptual"":0.3466,""api-function"":0.5},""smittenkitchen"":{""factual-lookup"":0.8,""cross-page"":0.0},""stripe-docs"":{""api-function"":0.1343,""js-rendered"":0.0167,""code-example"":0.0,""conceptual"":0.0}}}"	1381.1	completed	size-max200-min100
af7efc79	size-max250-min150	v099-rc1-trial3	st-mini	250	150	0	50	False	False	False	False	11	2039	36176	189.6	0.3114	0.2887	"{""mrr"":{""huggingface-transformers"":0.25,""ikea"":0.0,""kubernetes-docs"":0.5312,""mdn-css"":0.5625,""newegg"":0.125,""npr-news"":0.1667,""postgres-docs"":0.65,""react-dev"":0.2896,""rust-book"":0.2887,""smittenkitchen"":0.5,""stripe-docs"":0.062},""meta"":{""huggingface-transformers"":{""pages"":8,""chunks"":183,""avg_words"":170.1,""n_queries"":8},""ikea"":{""pages"":134,""chunks"":1088,""avg_words"":178.7,""n_queries"":8},""kubernetes-docs"":{""pages"":195,""chunks"":5412,""avg_words"":179.8,""n_queries"":8},""mdn-css"":{""pages"":300,""chunks"":1654,""avg_words"":169.3,""n_queries"":8},""newegg"":{""pages"":1,""chunks"":54,""avg_words"":203.1,""n_queries"":8},""npr-news"":{""pages"":150,""chunks"":1048,""avg_words"":172.0,""n_queries"":6},""postgres-docs"":{""pages"":400,""chunks"":4136,""avg_words"":183.4,""n_queries"":8},""react-dev"":{""pages"":51,""chunks"":664,""avg_words"":182.1,""n_queries"":16},""rust-book"":{""pages"":112,""chunks"":2042,""avg_words"":187.0,""n_queries"":8},""smittenkitchen"":{""pages"":200,""chunks"":16976,""avg_words"":201.7,""n_queries"":8},""stripe-docs"":{""pages"":488,""chunks"":2919,""avg_words"":172.6,""n_queries"":18}},""per_category"":{""api-function"":0.3225,""conceptual"":0.4739,""cross-page"":0.2083,""factual-lookup"":0.2667,""code-example"":0.2222,""js-rendered"":0.0667},""per_site_per_category"":{""huggingface-transformers"":{""api-function"":0.2,""conceptual"":0.5,""cross-page"":0.0},""ikea"":{""factual-lookup"":0.0,""cross-page"":0.0},""kubernetes-docs"":{""conceptual"":0.75,""api-function"":0.3125},""mdn-css"":{""api-function"":0.3333,""conceptual"":0.7},""newegg"":{""cross-page"":0.3333,""factual-lookup"":0.0},""npr-news"":{""cross-page"":0.1667},""postgres-docs"":{""cross-page"":0.75,""conceptual"":0.425,""api-function"":1.0},""react-dev"":{""conceptual"":0.66,""api-function"":0.0,""code-example"":0.4444},""rust-book"":{""conceptual"":0.2823,""api-function"":0.3333},""smittenkitchen"":{""factual-lookup"":0.8,""cross-page"":0.0},""stripe-docs"":{""api-function"":0.0783,""js-rendered"":0.0667,""code-example"":0.0,""conceptual"":0.0}}}"	714.6	completed	size-max250-min150
5e2d03ba	size-max300-min200	v099-rc1-trial3	st-mini	300	200	0	50	False	False	False	False	11	2039	29700	229.4	0.3394	0.3225	"{""mrr"":{""huggingface-transformers"":0.15,""ikea"":0.0,""kubernetes-docs"":0.6597,""mdn-css"":0.625,""newegg"":0.125,""npr-news"":0.1667,""postgres-docs"":0.7093,""react-dev"":0.3225,""rust-book"":0.4083,""smittenkitchen"":0.5,""stripe-docs"":0.067},""meta"":{""huggingface-transformers"":{""pages"":8,""chunks"":134,""avg_words"":224.2,""n_queries"":8},""ikea"":{""pages"":134,""chunks"":886,""avg_words"":218.1,""n_queries"":8},""kubernetes-docs"":{""pages"":195,""chunks"":4442,""avg_words"":218.4,""n_queries"":8},""mdn-css"":{""pages"":300,""chunks"":1365,""avg_words"":204.8,""n_queries"":8},""newegg"":{""pages"":1,""chunks"":44,""avg_words"":250.4,""n_queries"":8},""npr-news"":{""pages"":150,""chunks"":856,""avg_words"":210.6,""n_queries"":6},""postgres-docs"":{""pages"":400,""chunks"":3438,""avg_words"":219.1,""n_queries"":8},""react-dev"":{""pages"":51,""chunks"":554,""avg_words"":217.0,""n_queries"":16},""rust-book"":{""pages"":112,""chunks"":1683,""avg_words"":225.5,""n_queries"":8},""smittenkitchen"":{""pages"":200,""chunks"":13875,""avg_words"":244.7,""n_queries"":8},""stripe-docs"":{""pages"":488,""chunks"":2423,""avg_words"":206.9,""n_queries"":18}},""per_category"":{""api-function"":0.4179,""conceptual"":0.4153,""cross-page"":0.25,""factual-lookup"":0.2667,""code-example"":0.3368,""js-rendered"":0.0286},""per_site_per_category"":{""huggingface-transformers"":{""api-function"":0.2,""conceptual"":0.1,""cross-page"":0.0},""ikea"":{""factual-lookup"":0.0,""cross-page"":0.0},""kubernetes-docs"":{""conceptual"":0.5278,""api-function"":0.7917},""mdn-css"":{""api-function"":0.3333,""conceptual"":0.8},""newegg"":{""cross-page"":0.3333,""factual-lookup"":0.0},""npr-news"":{""cross-page"":0.1667},""postgres-docs"":{""cross-page"":1.0,""conceptual"":0.4186,""api-function"":1.0},""react-dev"":{""conceptual"":0.6654,""api-function"":0.0,""code-example"":0.6111},""rust-book"":{""conceptual"":0.3952,""api-function"":0.5},""smittenkitchen"":{""factual-lookup"":0.8,""cross-page"":0.0},""stripe-docs"":{""api-function"":0.1,""js-rendered"":0.0286,""code-example"":0.0625,""conceptual"":0.0}}}"	412.8	completed	size-max300-min200
292ee322	size-max400-min250	v099-rc1-trial3	st-mini	400	250	0	50	False	False	False	False	11	2039	22399	301.9	0.3493	0.2878	"{""mrr"":{""huggingface-transformers"":0.1458,""ikea"":0.0,""kubernetes-docs"":0.7812,""mdn-css"":0.5625,""newegg"":0.125,""npr-news"":0.1667,""postgres-docs"":0.6741,""react-dev"":0.2878,""rust-book"":0.5426,""smittenkitchen"":0.5,""stripe-docs"":0.0569},""meta"":{""huggingface-transformers"":{""pages"":8,""chunks"":107,""avg_words"":279.7,""n_queries"":8},""ikea"":{""pages"":134,""chunks"":695,""avg_words"":276.9,""n_queries"":8},""kubernetes-docs"":{""pages"":195,""chunks"":3428,""avg_words"":282.6,""n_queries"":8},""mdn-css"":{""pages"":300,""chunks"":1066,""avg_words"":261.7,""n_queries"":8},""newegg"":{""pages"":1,""chunks"":33,""avg_words"":332.0,""n_queries"":8},""npr-news"":{""pages"":150,""chunks"":710,""avg_words"":253.9,""n_queries"":6},""postgres-docs"":{""pages"":400,""chunks"":2659,""avg_words"":281.4,""n_queries"":8},""react-dev"":{""pages"":51,""chunks"":420,""avg_words"":284.7,""n_queries"":16},""rust-book"":{""pages"":112,""chunks"":1287,""avg_words"":293.2,""n_queries"":8},""smittenkitchen"":{""pages"":200,""chunks"":10112,""avg_words"":331.9,""n_queries"":8},""stripe-docs"":{""pages"":488,""chunks"":1882,""avg_words"":265.0,""n_queries"":18}},""per_category"":{""api-function"":0.3927,""conceptual"":0.4537,""cross-page"":0.2083,""factual-lookup"":0.2667,""code-example"":0.4334,""js-rendered"":0.025},""per_site_per_category"":{""huggingface-transformers"":{""api-function"":0.2,""conceptual"":0.0833,""cross-page"":0.0},""ikea"":{""factual-lookup"":0.0,""cross-page"":0.0},""kubernetes-docs"":{""conceptual"":0.75,""api-function"":0.8125},""mdn-css"":{""api-function"":0.1667,""conceptual"":0.8},""newegg"":{""cross-page"":0.3333,""factual-lookup"":0.0},""npr-news"":{""cross-page"":0.1667},""postgres-docs"":{""cross-page"":0.75,""conceptual"":0.4732,""api-function"":1.0},""react-dev"":{""conceptual"":0.521,""api-function"":0.0,""code-example"":0.6667},""rust-book"":{""conceptual"":0.5487,""api-function"":0.5},""smittenkitchen"":{""factual-lookup"":0.8,""cross-page"":0.0},""stripe-docs"":{""api-function"":0.07,""js-rendered"":0.025,""code-example"":0.2,""conceptual"":0.0}}}"	254.6	completed	size-max400-min250
7101e3c2	size-max500-min350	v099-rc1-trial3	st-mini	500	350	0	50	False	False	False	False	11	2039	17647	381.6	0.3448	0.2875	"{""mrr"":{""huggingface-transformers"":0.25,""ikea"":0.0,""kubernetes-docs"":0.7917,""mdn-css"":0.5625,""newegg"":0.125,""npr-news"":0.1667,""postgres-docs"":0.6708,""react-dev"":0.2875,""rust-book"":0.426,""smittenkitchen"":0.4375,""stripe-docs"":0.075},""meta"":{""huggingface-transformers"":{""pages"":8,""chunks"":86,""avg_words"":347.6,""n_queries"":8},""ikea"":{""pages"":134,""chunks"":553,""avg_words"":347.5,""n_queries"":8},""kubernetes-docs"":{""pages"":195,""chunks"":2616,""avg_words"":370.1,""n_queries"":8},""mdn-css"":{""pages"":300,""chunks"":839,""avg_words"":332.3,""n_queries"":8},""newegg"":{""pages"":1,""chunks"":25,""avg_words"":438.0,""n_queries"":8},""npr-news"":{""pages"":150,""chunks"":544,""avg_words"":331.3,""n_queries"":6},""postgres-docs"":{""pages"":400,""chunks"":2118,""avg_words"":352.0,""n_queries"":8},""react-dev"":{""pages"":51,""chunks"":338,""avg_words"":353.3,""n_queries"":16},""rust-book"":{""pages"":112,""chunks"":1042,""avg_words"":361.2,""n_queries"":8},""smittenkitchen"":{""pages"":200,""chunks"":8003,""avg_words"":416.7,""n_queries"":8},""stripe-docs"":{""pages"":488,""chunks"":1483,""avg_words"":335.7,""n_queries"":18}},""per_category"":{""api-function"":0.3986,""conceptual"":0.4932,""cross-page"":0.2083,""factual-lookup"":0.2333,""code-example"":0.4583,""js-rendered"":0.04},""per_site_per_category"":{""huggingface-transformers"":{""api-function"":0.2,""conceptual"":0.5,""cross-page"":0.0},""ikea"":{""factual-lookup"":0.0,""cross-page"":0.0},""kubernetes-docs"":{""conceptual"":0.75,""api-function"":0.8333},""mdn-css"":{""api-function"":0.1667,""conceptual"":0.8},""newegg"":{""cross-page"":0.3333,""factual-lookup"":0.0},""npr-news"":{""cross-page"":0.1667},""postgres-docs"":{""cross-page"":0.75,""conceptual"":0.4667,""api-function"":1.0},""react-dev"":{""conceptual"":0.52,""api-function"":0.0,""code-example"":0.6667},""rust-book"":{""conceptual"":0.4155,""api-function"":0.5},""smittenkitchen"":{""factual-lookup"":0.7,""cross-page"":0.0},""stripe-docs"":{""api-function"":0.09,""js-rendered"":0.04,""code-example"":0.25,""conceptual"":0.0}}}"	206.3	completed	size-max500-min350
d6de5266	size-max600-min400	v099-rc1-trial3	st-mini	600	400	0	50	False	False	False	False	11	2039	14916	450.5	0.3264	0.2896	"{""mrr"":{""huggingface-transformers"":0.1667,""ikea"":0.0,""kubernetes-docs"":0.5449,""mdn-css"":0.625,""newegg"":0.125,""npr-news"":0.1667,""postgres-docs"":0.6813,""react-dev"":0.2896,""rust-book"":0.4054,""smittenkitchen"":0.5,""stripe-docs"":0.0857},""meta"":{""huggingface-transformers"":{""pages"":8,""chunks"":71,""avg_words"":420.7,""n_queries"":8},""ikea"":{""pages"":134,""chunks"":474,""avg_words"":404.7,""n_queries"":8},""kubernetes-docs"":{""pages"":195,""chunks"":2203,""avg_words"":439.4,""n_queries"":8},""mdn-css"":{""pages"":300,""chunks"":710,""avg_words"":392.6,""n_queries"":8},""newegg"":{""pages"":1,""chunks"":21,""avg_words"":521.2,""n_queries"":8},""npr-news"":{""pages"":150,""chunks"":501,""avg_words"":359.8,""n_queries"":6},""postgres-docs"":{""pages"":400,""chunks"":1837,""avg_words"":405.0,""n_queries"":8},""react-dev"":{""pages"":51,""chunks"":284,""avg_words"":419.4,""n_queries"":16},""rust-book"":{""pages"":112,""chunks"":884,""avg_words"":425.0,""n_queries"":8},""smittenkitchen"":{""pages"":200,""chunks"":6655,""avg_words"":499.5,""n_queries"":8},""stripe-docs"":{""pages"":488,""chunks"":1276,""avg_words"":389.3,""n_queries"":18}},""per_category"":{""api-function"":0.385,""conceptual"":0.4173,""cross-page"":0.2083,""factual-lookup"":0.2667,""code-example"":0.4048,""js-rendered"":0.04},""per_site_per_category"":{""huggingface-transformers"":{""api-function"":0.2,""conceptual"":0.1667,""cross-page"":0.0},""ikea"":{""factual-lookup"":0.0,""cross-page"":0.0},""kubernetes-docs"":{""conceptual"":0.5482,""api-function"":0.5417},""mdn-css"":{""api-function"":0.3333,""conceptual"":0.8},""newegg"":{""cross-page"":0.3333,""factual-lookup"":0.0},""npr-news"":{""cross-page"":0.1667},""postgres-docs"":{""cross-page"":0.75,""conceptual"":0.4875,""api-function"":1.0},""react-dev"":{""conceptual"":0.5267,""api-function"":0.0,""code-example"":0.6667},""rust-book"":{""conceptual"":0.3918,""api-function"":0.5},""smittenkitchen"":{""factual-lookup"":0.8,""cross-page"":0.0},""stripe-docs"":{""api-function"":0.12,""js-rendered"":0.04,""code-example"":0.1429,""conceptual"":0.0}}}"	190.0	completed	size-max600-min400
947c686e	p2-max200-min100-ov20	v099-rc1-trial3	st-mini	200	100	20	50	False	False	False	False	11	2039	46657	167.7	0.3562	0.3058	"{""mrr"":{""huggingface-transformers"":0.25,""ikea"":0.0,""kubernetes-docs"":0.6458,""mdn-css"":0.5625,""newegg"":0.125,""npr-news"":0.1667,""postgres-docs"":0.8438,""react-dev"":0.3058,""rust-book"":0.4801,""smittenkitchen"":0.4167,""stripe-docs"":0.1223},""meta"":{""huggingface-transformers"":{""pages"":8,""chunks"":220,""avg_words"":156.6,""n_queries"":8},""ikea"":{""pages"":134,""chunks"":1396,""avg_words"":158.5,""n_queries"":8},""kubernetes-docs"":{""pages"":195,""chunks"":7076,""avg_words"":157.5,""n_queries"":8},""mdn-css"":{""pages"":300,""chunks"":2123,""avg_words"":149.4,""n_queries"":8},""newegg"":{""pages"":1,""chunks"":70,""avg_words"":179.4,""n_queries"":8},""npr-news"":{""pages"":150,""chunks"":1433,""avg_words"":143.7,""n_queries"":6},""postgres-docs"":{""pages"":400,""chunks"":5248,""avg_words"":164.4,""n_queries"":8},""react-dev"":{""pages"":51,""chunks"":836,""avg_words"":164.8,""n_queries"":16},""rust-book"":{""pages"":112,""chunks"":2528,""avg_words"":171.3,""n_queries"":8},""smittenkitchen"":{""pages"":200,""chunks"":21979,""avg_words"":177.9,""n_queries"":8},""stripe-docs"":{""pages"":488,""chunks"":3748,""avg_words"":153.2,""n_queries"":18}},""per_category"":{""api-function"":0.3794,""conceptual"":0.5395,""cross-page"":0.2083,""factual-lookup"":0.2222,""code-example"":0.2833,""js-rendered"":0.1},""per_site_per_category"":{""huggingface-transformers"":{""api-function"":0.2,""conceptual"":0.5,""cross-page"":0.0},""ikea"":{""factual-lookup"":0.0,""cross-page"":0.0},""kubernetes-docs"":{""conceptual"":0.5833,""api-function"":0.7083},""mdn-css"":{""api-function"":0.3333,""conceptual"":0.7},""newegg"":{""cross-page"":0.3333,""factual-lookup"":0.0},""npr-news"":{""cross-page"":0.1667},""postgres-docs"":{""cross-page"":0.75,""conceptual"":0.8125,""api-function"":1.0},""react-dev"":{""conceptual"":0.6386,""api-function"":0.0,""code-example"":0.5667},""rust-book"":{""conceptual"":0.513,""api-function"":0.25},""smittenkitchen"":{""factual-lookup"":0.6667,""cross-page"":0.0},""stripe-docs"":{""api-function"":0.1643,""js-rendered"":0.1,""code-example"":0.0,""conceptual"":0.0294}}}"	427.4	completed	p2-max200-min100-ov20
22541bbf	p2-max200-min100-ov40	v099-rc1-trial3	st-mini	200	100	40	50	False	False	False	False	11	2039	46657	186.2	0.3563	0.3456	"{""mrr"":{""huggingface-transformers"":0.25,""ikea"":0.0,""kubernetes-docs"":0.7396,""mdn-css"":0.4167,""newegg"":0.125,""npr-news"":0.1667,""postgres-docs"":0.8542,""react-dev"":0.3456,""rust-book"":0.4441,""smittenkitchen"":0.4375,""stripe-docs"":0.1394},""meta"":{""huggingface-transformers"":{""pages"":8,""chunks"":220,""avg_words"":174.9,""n_queries"":8},""ikea"":{""pages"":134,""chunks"":1396,""avg_words"":176.2,""n_queries"":8},""kubernetes-docs"":{""pages"":195,""chunks"":7076,""avg_words"":176.7,""n_queries"":8},""mdn-css"":{""pages"":300,""chunks"":2123,""avg_words"":166.3,""n_queries"":8},""newegg"":{""pages"":1,""chunks"":70,""avg_words"":198.9,""n_queries"":8},""npr-news"":{""pages"":150,""chunks"":1433,""avg_words"":161.6,""n_queries"":6},""postgres-docs"":{""pages"":400,""chunks"":5248,""avg_words"":182.5,""n_queries"":8},""react-dev"":{""pages"":51,""chunks"":836,""avg_words"":183.1,""n_queries"":16},""rust-book"":{""pages"":112,""chunks"":2528,""avg_words"":190.1,""n_queries"":8},""smittenkitchen"":{""pages"":200,""chunks"":21979,""avg_words"":196.8,""n_queries"":8},""stripe-docs"":{""pages"":488,""chunks"":3748,""avg_words"":170.2,""n_queries"":18}},""per_category"":{""api-function"":0.3478,""conceptual"":0.5246,""cross-page"":0.25,""factual-lookup"":0.2333,""code-example"":0.4604,""js-rendered"":0.04},""per_site_per_category"":{""huggingface-transformers"":{""api-function"":0.2,""conceptual"":0.5,""cross-page"":0.0},""ikea"":{""factual-lookup"":0.0,""cross-page"":0.0},""kubernetes-docs"":{""conceptual"":0.7708,""api-function"":0.7083},""mdn-css"":{""api-function"":0.1667,""conceptual"":0.5667},""newegg"":{""cross-page"":0.3333,""factual-lookup"":0.0},""npr-news"":{""cross-page"":0.1667},""postgres-docs"":{""cross-page"":1.0,""conceptual"":0.7083,""api-function"":1.0},""react-dev"":{""conceptual"":0.6391,""api-function"":0.0,""code-example"":0.7778},""rust-book"":{""conceptual"":0.4872,""api-function"":0.1429},""smittenkitchen"":{""factual-lookup"":0.7,""cross-page"":0.0},""stripe-docs"":{""api-function"":0.2167,""js-rendered"":0.04,""code-example"":0.1429,""conceptual"":0.0}}}"	703.8	completed	p2-max200-min100-ov40
2cc5b9b7	p2-max200-min100-ov60	v099-rc1-trial3	st-mini	200	100	60	50	False	False	False	False	11	2039	46657	204.3	0.3741	0.3906	"{""mrr"":{""huggingface-transformers"":0.25,""ikea"":0.0,""kubernetes-docs"":0.7292,""mdn-css"":0.5417,""newegg"":0.125,""npr-news"":0.1667,""postgres-docs"":0.875,""react-dev"":0.3906,""rust-book"":0.4541,""smittenkitchen"":0.5,""stripe-docs"":0.0829},""meta"":{""huggingface-transformers"":{""pages"":8,""chunks"":220,""avg_words"":192.4,""n_queries"":8},""ikea"":{""pages"":134,""chunks"":1396,""avg_words"":193.5,""n_queries"":8},""kubernetes-docs"":{""pages"":195,""chunks"":7076,""avg_words"":195.5,""n_queries"":8},""mdn-css"":{""pages"":300,""chunks"":2123,""avg_words"":182.9,""n_queries"":8},""newegg"":{""pages"":1,""chunks"":70,""avg_words"":218.2,""n_queries"":8},""npr-news"":{""pages"":150,""chunks"":1433,""avg_words"":179.5,""n_queries"":6},""postgres-docs"":{""pages"":400,""chunks"":5248,""avg_words"":200.2,""n_queries"":8},""react-dev"":{""pages"":51,""chunks"":836,""avg_words"":201.0,""n_queries"":16},""rust-book"":{""pages"":112,""chunks"":2528,""avg_words"":208.5,""n_queries"":8},""smittenkitchen"":{""pages"":200,""chunks"":21979,""avg_words"":215.2,""n_queries"":8},""stripe-docs"":{""pages"":488,""chunks"":3748,""avg_words"":186.5,""n_queries"":18}},""per_category"":{""api-function"":0.3474,""conceptual"":0.5457,""cross-page"":0.25,""factual-lookup"":0.2667,""code-example"":0.6,""js-rendered"":0.1},""per_site_per_category"":{""huggingface-transformers"":{""api-function"":0.2,""conceptual"":0.5,""cross-page"":0.0},""ikea"":{""factual-lookup"":0.0,""cross-page"":0.0},""kubernetes-docs"":{""conceptual"":0.75,""api-function"":0.7083},""mdn-css"":{""api-function"":0.3333,""conceptual"":0.6667},""newegg"":{""cross-page"":0.3333,""factual-lookup"":0.0},""npr-news"":{""cross-page"":0.1667},""postgres-docs"":{""cross-page"":1.0,""conceptual"":0.75,""api-function"":1.0},""react-dev"":{""conceptual"":0.65,""api-function"":0.0,""code-example"":1.0},""rust-book"":{""conceptual"":0.5031,""api-function"":0.1111},""smittenkitchen"":{""factual-lookup"":0.8,""cross-page"":0.0},""stripe-docs"":{""api-function"":0.0792,""js-rendered"":0.1,""code-example"":0.2,""conceptual"":0.0}}}"	615.3	completed	p2-max200-min100-ov60
